gene_symbol,adrenal gland,blood,bone marrow,brain,cecum,ganglia,heart,kidney,liver,lung,lymph nodes,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,salivary gland,skin,testis,thymus gland,thyroid gland,tongue,trachea,uterus
RFC2,12.0644,37.0969,37.7165,17.687952631579,26.8764,16.201925,13.47165,14.1136,23.2411,30.4304,31.228,21.8087,13.6381,28.0635,21.03225,27.9563,18.5656,10.6076,17.7094,20.9351666666667,42.3385,27.4644,14.4589,14.611,10.9286
HSPA6,31.26895,413.0212,75.9108,38.3080421052632,28.8424,44.409325,72.2951,30.2488,42.863,93.5754,100.3914,38.6599,41.2363,47.5787,55.31955,63.3304,42.265,28.805,27.9027,40.4157,80.3326,26.2705,31.0829,58.978,53.1152
PAX8,76.3388,65.028,94.1205,68.5771947368421,86.609,83.437875,88.36045,230.7485,84.7725,71.6662,92.587,70.5684,98.2926,64.1054,87.1064,68.3544,67.8862,66.5656,86.4805,69.6032333333333,75.8741,469.7509,91.9183,76.082,58.5405
GUCA1A,32.0782,26.4668,24.8856,34.5847,34.5497,49.113125,46.46235,31.5713,29.4988,20.5648,21.453,28.0893,32.6808,22.5758,18.3094,32.5778,32.7393,25.1655,38.398,104.605566666667,24.5045,26.2524,23.794,25.1292,28.5
THRA,33.90475,23.932,36.6915,55.5085736842105,24.636,32.7355,40.4181,36.5522,28.3345,23.8387,24.9887,17.2865,38.7409,30.0668,26.8849,20.1545,23.509,42.3283,30.8015,23.7151333333333,20.5744,31.3624,44.5358,28.3768,32.2815
PTPN21,15.629,11.7262,8.9067,12.0170052631579,9.5595,17.9719,20.71785,15.429,16.4759,22.5524,13.0975,15.4207,21.2333,10.4446,16.8108,28.3312,12.004,20.1561,13.0637,29.9771,14.1854,12.879,18.9564,7.5979,14.6069
CCL5,37.4146,1382.2104,142.7789,24.6033736842105,39.0572,37.62405,66.00035,31.2596,38.6186,234.1549,230.9085,23.35255,29.2886,63.5727,51.62085,38.7787,45.7313,68.3976,31.3303,21.7845666666667,68.6487,53.5299,41.6366,79.0865,38.29
CYP2E1,14.37485,9.043,12.7613,18.4540368421053,25.0898,23.732175,13.52585,23.5274,4276.8922,14.506,15.1929,12.55055,20.1352,28.1787,12.8247,9.2583,29.5815,15.1877,22.4756,21.3439333333333,9.241,11.7033,14.7168,9.1549,22.5947
EPHB3,28.00305,30.6001,33.0658,46.4254789473684,33.0753,41.5335,49.79165,79.4243,61.0109,71.8726,33.911,39.53285,45.445,44.115,61.85285,74.079,95.2702,38.3413,69.2703,40.6672333333333,35.1157,28.6944,74.3066,102.6714,53.8467
ESRRA,93.71325,76.386,68.1485,79.9651157894737,82.7015,71.11245,124.10825,120.0315,152.4325,83.5896,76.9834,107.74055,71.6058,88.8553,95.9212,100.3576,72.201,67.3098,39.262,57.1915333333333,77.7728,76.5867,84.6676,80.0716,57.0442
