gene_symbol,adipose tissue,adrenal gland,bone marrow,brain,breast,cervix uteri,colon,epididymis,heart,kidney,liver,lung,lymph nodes,muscle,ovary,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,stomach,testis,thymus gland,thyroid gland,trachea,urinary bladder
PRR29,0,0,0,21.5871714285714,0,80.312,0,219.0318,0,0,0,0,174.3608,0,0,0,0,0,27.442,0,17.3241,423.9938,0,0,109.2271,0,335.0247,40.4506
INAFM1,0,0,0,21.0132,0,83.7106,0,59.4986,0,0,0,0,62.1511,0,0,0,0,0,98.9499,0,18.9518,42.9892,0,0,82.0976,0,51.1772,140.9044
NEURL1B,114.0762,80.5549,69.3458,36.3412428571429,58.3083,108.0887,132.1548,59.4986,144.5549,47.0399,39.1187,83.79,99.6435,51.2197,127.5266,41.9028,59.8301,35.6901,40.0328,67.5883,67.6226333333333,69.4,49.7987,28.6884,56.4067,35.2213,53.9606,204.609
BIRC5,21.0472,28.3852,68.8684,24.9133571428571,19.9862,24.0869,45.0903,21.5282,32.7365,20.7237,112.0429,23.1309,99.6435,24.8563,56.312,36.1613,27.5372,25.5005,18.9852,45.9062,44.0325,26.0831,40.8525,54.0388,152.5213,29.4989,22.992,23.4113
CASK,50.4888,64.5791,15.3116,76.6215142857143,34.9728,80.6827,52.4908,45.9206,43.1552,58.1389,38.1403,44.2784,53.7587,37.02,71.056,39.7414,42.8469,66.7649,64.1085,60.5162,63.4633333333333,69.0017,40.0146,20.6874,50.1569,39.4281,49.0995,66.9768
KIAA0040,95.1031,41.7919,63.536,40.5199285714286,75.8107,57.5149,44.4716,46.1857,57.0207,58.1389,54.3731,113.0295,77.348,43.3947,42.423,128.6008,53.6932,54.3937,83.256,47.9591,52.7065666666667,70.8532,58.2396,39.6923,68.1287,48.0625,47.9818,62.9397
SPATA31D3,0,0,0,16.9220428571429,0,62.0555,0,75.5974,0,0,0,0,49.8252,0,0,0,0,0,125.4341,0,8.446,36.4216,0,0,71.6688,0,37.0746,90.5576
NOL4L,30.0743,35.4072,52.242,71.3723,42.2406,52.8178,48.4265,67.9215,17.7432,58.1389,23.7894,61.4033,100.2187,4.9939,13.7278,25.6592,40.9185,26.8255,63.6672,13.362,53.0265,93.1879,34.6113,48.7198,142.0137,29.5669,56.6339,65.6032
FAM186A,10.1905,8.3578,18.6647,13.0019714285714,14.816,21.1729,37.4182,26.8848,16.7122,18.1329,20.7675,18.5009,17.0785,16.3469,10.0369,9.7105,20.6025,9.1316,61.2937,7.343,17.5488666666667,20.1076,9.6654,1121.2588,32.0871,8.0502,21.9825,56.0951
STK16,47.1189,80.4622,63.3899,68.3385428571429,151.2622,41.4267,67.7771,97.7253,41.2129,93.2109,92.4452,36.8716,65.6824,39.7591,61.0381,33.4768,58.603,52.9722,106.0268,60.2381,52.6090666666667,58.5274,56.9139,66.5589,100.1914,101.6965,93.3419,61.8621
FBXL20,49.4533,48.9883,69.6659,57.5406571428572,81.7957,44.8519,64.7266,44.2086,34.9167,0,34.6246,50.3723,52.7775,27.7611,81.7713,50.9617,46.1232,72.2018,35.028,47.0838,55.2921333333333,46.5972,41.2305,75.4581,66.6546,36.1248,38.5991,41.1078
SYNM,24.0544,13.0194,2.5033,29.7010857142857,58.7801,31.6797,353.6576,24.889,120.0971,5.9768,7.1102,18.8883,8.9629,269.7346,5.4463,8.3127,63.2295,75.5176,15.8641,15.4658,213.453866666667,6.0236,107.8247,6.8345,5.5505,6.7578,41.5984,360.5161
ZNF678,35.0909,47.1077,53.3359,48.3795857142857,17.9362,55.9475,55.2183,51.5831,52.727,0,66.1278,54.0993,74.5502,26.5116,60.0622,45.3152,64.1091,47.8132,36.259,35.7167,56.3072,85.2824,56.2624,42.1411,28.2378,58.5876,45.8751,34.3498
GOLGA6L4,88.1444,62.3867,70.7978,43.8990714285714,18.8248,87.253,68.72,95.6108,79.8055,39.3067,51.3315,78.7394,34.3913,84.0304,140.4756,48.5561,72.7645,78.804,22.5121,99.7405,61.1709666666667,52.5242,28.8548,122.6608,13.3147,127.0006,81.2974,19.1834
CDC14C,83.2137,46.5685,38.9063,64.8344142857143,39.1499,56.4651,38.3781,56.1703,81.2892,72.0223,102.656,54.7258,33.9976,22.5651,37.7225,32.0807,65.4515,76.1287,40.125,42.9409,50.7604,30.0857,36.8314,148.1514,46.2733,110.8679,81.1105,74.6319
