gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,pancreas,placenta,prostate,salivary gland,skin,small intestine,spleen,stomach,testis,thymus gland,thyroid gland,trachea,urinary bladder,uterus
RFC2,23.9816,44.5616,20.7587875,22.5546,26.792,18.2185,25.6089,47.0742,27.6059,27.9365,12.3436,23.5566,22.2005,28.0694,15.7065,21.5462,20.7502,29.9113,34.5044,14.8661,15.0529,28.9637,27.2488,20.6888,24.2905
HSPA6,25.2983,98.8143,29.4352,32.4637,21.9402,19.304,6.0503,52.2366,80.1334,22.7946,24.1996,28.5158,71.6501,59.2649,13.1654,69.9465,15.2328,57.3773,20.7503,15.0961,57.2249,64.4049,63.2876,28.382,59.3607
PAX8,60.038,52.4448,41.608975,41.5662,45.0399,57.4792,243.0521,50.5911,39.2879,63.2748,42.8598,88.5585,36.9335,41.2738,64.1508,40.6582,46.3957,50.2722,44.2916,42.7579,46.8835,295.4358,49.4068,42.3278,137.4769
GUCA1A,20.7317,19.3822,34.4499625,13.1641,7.2931,15.3434,18.5702,11.6798,12.5933,9.858,15.1781,11.1879,17.7345,10.9087,19.302,17.997,34.4538,11.392,12.1763,78.0684,17.2929,15.8545,19.8946,20.2904,12.6683
THRA,20.0313,23.1884,48.2431375,15.3821,15.5168,22.5604,19.4388,14.3901,14.8966,11.3809,18.8202,9.5053,8.3495,12.0809,22.3974,13.9139,16.3423,12.6445,15.0343,15.4411,11.3494,13.5719,14.7085,16.4285,11.5206
PTPN21,10.9402,8.6078,5.2433,13.5241,19.1633,12.3217,9.7194,8.776,5.8493,13.346,9.6615,9.3872,15.5663,14.0673,9.259,17.2746,15.4277,8.9317,13.8137,37.3664,5.6598,18.8619,8.746,15.9687,7.3366
CCL5,25.4104,303.9381,16.0938875,36.9573,39.8524,19.5093,16.6832,49.1069,102.2381,16.0152,14.5076,34.2131,24.9513,12.895,54.4457,17.3374,186.6022,99.4261,55.344,19.2655,70.6352,175.0468,148.0519,63.8136,64.0968
CYP2E1,14.6383,9.0616,18.5257625,14.6187,14.6319,10.9135,7.3981,2329.4978,10.1078,12.822,11.5664,14.376,5.5663,10.1271,9.8673,17.1333,16.7321,7.366,16.7163,20.0562,8.7062,7.0944,8.8632,11.8616,10.5617
EPHB3,25.2703,26.5847,30.18295,140.1383,42.1105,14.522,17.9112,28.9415,19.586,13.7554,50.045,27.8959,23.851,24.6177,135.4654,138.197,31.6951,7.5449,142.6916,12.5657,17.0241,21.7459,72.2826,25.93,48.8135
ESRRA,56.7882,55.6873,48.908425,43.8418,111.7759,103.5608,90.0054,63.6583,49.6112,147.4119,45.5647,63.6441,53.9479,66.0055,92.509,73.8411,135.986,37.2177,77.7019,26.3678,51.819,36.6133,64.606,51.1551,50.3825
CYP2A6,67.8684,66.9595,51.4653,40.7596,54.9115,76.1451,52.8351,985.8813,39.3708,56.4462,45.4885,66.9355,47.1519,37.7733,76.6268,40.8937,67.948,55.3196,53.9299,43.448,35.7656,38.1247,60.3283,38.7111,45.1525
GAS6,204.9921,141.8534,227.8560125,245.1052,318.1174,344.2737,199.5395,131.8982,409.1511,298.1971,303.1653,190.4008,220.5167,309.4802,286.4212,297.783,285.8555,134.4668,260.9116,284.0653,239.9803,343.4002,250.2495,527.5194,322.3435
MMP14,54.5049,57.1805,32.932825,73.2665,55.6133,44.4167,46.6501,34.0716,31.5331,35.5511,76.119,52.3971,81.6501,34.2402,58.325,70.4176,57.438,42.5856,57.8596,34.5916,41.5598,47.5017,32.1126,45.071,87.9806
TRADD,26.7085,28.3219,25.996725,38.9449,35.3565,17.3873,41.3735,32.9961,49.7106,10.917,38.3414,30.6806,41.208,32.9539,52.0667,43.7414,48.1773,31.2931,68.334,13.5721,42.63,38.3921,65.026,39.8452,29.5012
CHURC1-FNTB,51.185,44.7665,54.2568875,46.3767,32.4678,47.6438,56.1598,33.3617,36.1893,33.2749,45.2904,28.7225,40.55,36.6987,33.8731,56.6293,44.9189,42.8839,38.7616,62.1672,29.7175,43.8311,42.1038,40.7034,33.6465
PLD1,22.1185,24.3595,14.98305,23.2172,26.67,26.0369,21.6552,34.4749,16.0565,16.5228,24.7634,25.5639,23.7377,10.1923,23.4787,37.9413,42.7749,30.8507,22.3877,20.0706,15.6801,16.9032,18.7812,16.9955,13.5835
BAD,53.5383,20.7876,54.95275,35.5747,41.6833,29.8948,42.8611,38.2014,37.1172,51.1897,59.2494,21.933,41.5208,43.3741,64.0967,45.3851,35.7432,40.8858,32.8968,43.218,35.1234,46.3296,44.1841,40.2436,46.1985
PRPF8,299.9939,171.688,232.8775625,228.0812,184.859,225.0174,181.6282,121.8316,214.9485,282.8369,369.2722,159.7005,104.336,236.0829,196.4263,183.6763,177.6364,207.7392,177.3151,288.5223,270.4147,202.4066,201.4654,242.3813,233.0264
CAPNS1,588.3331,715.3275,405.2973,536.8752,711.6675,790.172,823.3175,353.3634,697.0748,527.2897,459.7311,486.8357,406.8588,668.3261,530.0211,337.4518,676.3618,589.1013,334.4456,443.3363,478.2283,623.0741,562.9076,658.2423,567.8639
RPL35,1154.4216,879.2275,643.93145,1217.3741,988.6203,857.2958,857.2829,713.8895,1100.1944,1729.7067,1850.5672,1592.8136,1057.4703,1414.9341,1859.1018,1630.7241,752.9458,1204.8038,837.9299,637.774,1061.827,956.5113,975.859,1127.9249,1162.0523
EIF4G2,203.8714,203.777,310.4243125,343.3316,391.1089,398.0197,370.5647,310.8062,528.8873,562.0384,458.1768,366.5732,531.6154,487.6983,143.0889,530.425,291.0731,426.3335,422.984,327.0533,480.11,456.664,333.7247,388.6743,473.6945
EIF3D,217.8513,299.0486,145.4147625,433.9246,250.9542,193.2744,233.6247,232.8869,317.8163,282.5094,436.324,486.9538,273.2672,355.9153,365.6567,327.0871,276.8298,337.5836,199.1669,256.2598,357.0883,302.5303,269.7925,342.8524,310.0821
PARK7,1101.0234,584.6877,830.6598375,666.9028,478.2899,896.0211,814.0923,839.4639,709.8007,1609.2488,763.9022,824.775,803.6852,1104.477,1183.5858,609.8255,507.7212,579.2601,782.6157,575.4918,539.993,812.2172,689.3656,775.6936,454.8374
SRP14,684.3715,610.6869,627.17505,687.6426,645.023,661.029,714.5322,492.5535,746.0563,677.6819,759.6353,636.7948,753.6531,721.9251,491.6333,598.2672,424.0605,575.4429,734.7442,530.4624,850.489,714.5612,483.9154,642.5494,709.8299
GDI2,167.9271,234.2264,167.2240875,351.0803,349.3646,233.4666,327.7036,408.6651,346.9466,294.8237,387.041,476.4449,445.823,355.8501,180.3953,409.9738,442.6218,421.6813,301.6083,226.3551,304.1941,390.0382,229.5639,325.2286,344.2225
RPL11,1138.1724,1625.3558,747.167325,1676.9355,1080.2259,1133.5362,1262.8913,984.5907,1233.2199,1313.1151,1860.0764,2256.5302,1448.1479,1538.609,656.8087,1627.3948,1342.5285,1047.7618,1690.8048,471.9758,1939.6741,1085.5062,1623.5016,1460.8467,832.4448
ARF3,220.9891,183.7506,431.090675,124.7082,165.0243,125.8181,244.5472,94.5357,155.1854,63.7769,94.5836,129.0986,90.6576,117.7267,180.152,121.027,105.2505,148.175,145.3412,117.9508,136.412,202.7767,135.1111,137.19,135.8062
RPL24,1050.0345,1131.138,886.363975,1558.9774,1009.1263,1092.904,957.8014,848.0786,1556.1397,1656.3447,2314.8701,1988.9949,1638.8589,1537.0459,1380.823,1508.8281,917.0586,1294.8658,1048.4097,471.3144,1631.2688,1141.1202,1117.3477,1413.247,1264.0958
HNRNPC,242.3792,220.3046,174.478925,236.7084,167.3587,121.926,193.6988,187.1839,207.2931,169.7644,302.891,251.4176,314.6748,263.1266,145.5625,256.0413,168.6557,223.3957,171.3609,167.351,272.3112,228.9643,213.6248,256.9247,294.915
RPS27A,1040.3971,1142.3809,959.1687875,1767.4997,1649.0229,928.9376,1093.4236,922.3843,1623.8787,1322.0888,2352.6019,2234.1544,1477.0151,1687.4877,1550.9726,1883.3732,959.4287,1211.7821,1437.1573,554.2135,1871.3984,1508.7648,1496.8093,1490.8225,1141.9457
FAU,1514.7056,1830.0697,1085.074325,1561.7715,1337.161,885.2836,928.8679,1330.0169,1467.9863,1632.4365,2151.9953,1419.0618,1300.8995,1512.7538,1487.5517,1658.9288,1278.7785,1537.6159,885.9205,679.9856,1847.9828,1178.5972,1446.5894,1572.8422,1445.1126
TARDBP,52.3616,118.8406,109.364625,112.946,101.9807,99.6589,106.8983,120.6056,143.5641,109.2243,155.0419,110.2849,100.4202,184.5354,58.69,118.7552,80.2722,116.6632,119.7085,121.7464,179.918,119.7721,105.743,121.8036,160.0095
CFL1,2891.3491,3841.8405,2326.8529625,1170.018,3029.6371,1861.689,2339.3022,1816.311,2175.4672,1323.6609,2280.4908,2046.4103,1960.6372,1969.7451,2335.3259,1704.7223,2609.6724,2350.9181,2670.3248,1667.3563,3398.4318,1973.6027,1834.0499,1765.9381,2295.9787
