gene_symbol,adipose tissue,adrenal gland,brain,breast,colon,heart,kidney,liver,lung,lymph nodes,muscle,ovary,prostate,testis,thyroid gland
TSPAN6,74.8495,12.533,15.4042,48.581,42.9468,10.5899,38.4094,191.9156,37.1232,14.0484,2.3235,52.1363,34.33,41.5352,39.4522
TNMD,58.8104,11.7497,0.3081,134.9473,5.9237,1.059,0.3601,0,0.2007,0.8429,0.2323,1.372,0.7629,1.4834,0.4466
DPM1,72.1763,72.8481,78.0479,78.8092,93.2982,116.4892,99.6243,102.5302,79.2631,73.9885,104.5566,80.2625,83.9178,96.4209,118.3567
SCYL3,5.3464,7.0498,7.1886,8.6366,5.9237,5.295,7.2018,10.5159,3.01,7.4925,4.647,10.2901,9.1547,5.9336,8.9326
C1orf112,2.6732,1.5666,1.0269,2.1592,1.3328,1.059,1.2003,5.258,1.0033,2.8097,0.4647,2.058,2.2887,11.1255,1.4888
FGR,33.415,17.2329,3.0808,7.557,4.4428,7.9424,7.2018,13.1449,82.2731,29.97,4.647,3.43,4.5773,1.4834,5.2107
CFH,70.8397,68.1482,13.3503,78.8092,88.8554,66.1871,33.6082,1227.7338,79.2631,170.4544,18.5878,273.7158,61.0311,53.4024,86.3483
FUCA2,97.5717,55.6152,42.1048,83.1275,51.8323,79.4245,86.4211,115.6751,47.1565,41.2088,18.5878,72.7165,33.5671,55.6275,68.4831
GCLC,18.7124,19.5828,31.8353,34.5465,17.7711,15.8849,26.4065,76.2404,16.0533,12.1753,16.2644,13.7201,31.2785,10.3838,36.4747
NFYA,22.7222,12.533,19.512,18.3528,17.7711,13.2374,21.6053,15.7739,42.1399,20.6044,18.5878,27.4402,19.8351,42.2769,19.3539
STPG1,2.6732,2.3499,6.1617,3.2387,2.9618,2.3827,3.6009,1.0516,4.0133,2.8097,1.8588,4.802,3.8144,12.6089,2.2331
NIPAL3,8.0196,7.8331,72.9132,10.7958,14.8092,31.7698,18.0044,5.258,13.0433,14.0484,2.0911,7.5461,7.6289,5.9336,23.0758
LAS1L,21.3856,19.5828,17.4581,12.9549,16.2902,7.9424,14.4035,21.0318,11.0366,10.3022,9.2939,17.8361,16.7836,15.5757,20.8427
ENPP4,48.1176,19.5828,97.5599,41.024,44.4277,63.5396,62.4153,18.4029,64.2131,29.0334,58.087,10.9761,44.2476,25.2178,30.5197
SEMA3F,61.4836,14.0996,3.0808,8.6366,17.7711,10.5899,22.8056,5.258,69.2298,24.3506,4.647,4.802,16.7836,3.7085,11.1657
CFTR,0.2673,0.235,1.0269,0.2159,8.8855,0.5295,1.2003,2.629,9.03,0.1873,0,2.058,0.7629,0.5192,0.4466
ANKIB1,21.3856,17.2329,44.1587,26.9895,22.2138,26.4748,31.2076,10.5159,16.0533,26.2238,13.9409,27.4402,21.3609,30.4097,21.5871
CYP51A1,2.6732,0.7833,3.0808,1.0796,1.3328,1.059,2.4006,5.258,2.0067,0.9366,1.6264,3.43,0.7629,2.9668,1.4888
KRIT1,13.366,17.2329,16.4311,15.1141,14.8092,23.8273,18.0044,13.1449,12.04,16.8581,16.2644,21.2661,19.0722,19.2842,23.0758
RAD52,5.3464,9.3998,6.1617,6.4775,7.4046,5.295,7.2018,5.258,4.0133,13.1119,6.9704,8.2321,10.6804,4.4502,6.6994
BAD,30.7418,23.4994,23.6198,31.3078,35.5422,34.4173,25.2062,28.9188,24.0799,20.6044,13.9409,21.2661,25.1753,26.7012,23.8202
LAP3,120.2939,165.2789,100.6408,104.7191,69.6034,95.3094,190.8466,118.3041,156.5195,93.6563,67.3809,41.1603,63.3198,70.4615,59.5506
CD99,323.457,278.076,57.509,318.4755,239.9096,219.741,51.6126,236.6082,206.686,173.2641,188.2019,174.9312,272.3515,216.5763,87.0927
HS3ST1,0.6683,3.9166,2.0539,0.7557,1.1847,1.059,6.0015,0.5258,3.01,2.8097,0.9294,15.0921,3.0516,4.4502,0.7444
AOC1,0.2673,0.5483,0.1027,0.3239,10.3665,1.059,88.8217,1.5774,0.1003,0.7493,0,0.1372,0.4577,5.9336,0.3722
WNT16,0,1.5666,1.0269,0.108,0.7405,0,0.2401,0.2629,0.602,1.8731,0,0.2058,0.6103,1.4834,0
HECW1,0.1337,0.0783,15.4042,0.108,0.1481,0,0.3601,0,0.1003,0,0.2323,0.2058,0.2289,0.7417,0.3722
MAD1L1,8.0196,5.4832,4.1078,5.3979,4.4428,2.6475,3.6009,2.629,4.0133,2.8097,13.9409,6.174,3.8144,8.1587,4.4663
LASP1,126.9769,87.731,37.997,144.6635,75.5271,31.7698,60.0147,120.9331,93.3097,91.7831,16.2644,80.9485,32.8042,34.1182,34.2416
SNX11,14.7026,23.4994,14.3773,18.3528,14.8092,10.5899,20.405,21.0318,12.04,21.5409,16.2644,13.0341,16.7836,11.8672,22.3315
TMEM176A,30.7418,79.8979,13.3503,15.1141,75.5271,29.1223,175.2428,1183.0411,37.1232,105.8316,4.647,56.2524,20.598,15.5757,14.1433
M6PR,45.4444,44.6488,28.7545,39.9444,45.9086,50.3022,48.0117,52.5796,49.1632,59.94,44.1461,47.3343,39.6702,32.6348,74.4382
KLHL13,2.6732,3.1333,6.1617,6.4775,8.8855,7.9424,16.8041,1.3145,5.0167,1.8731,2.3235,10.2901,15.2578,8.1587,1.4888
CYP26B1,101.5815,18.0162,15.4042,28.069,11.8474,2.3827,26.4065,1.5774,3.01,19.6678,23.2348,8.2321,5.3402,36.3433,8.9326
ICA1,24.0588,9.3998,16.4311,16.1937,5.9237,29.1223,15.6038,26.2898,7.0233,5.6194,1.8588,2.058,9.9176,17.8008,7.4438
DBNDD1,0.802,2.3499,15.4042,4.3183,1.4809,2.6475,4.8012,1.3145,3.01,1.8731,6.9704,3.43,2.2887,1.4834,2.9775
ALS2,8.0196,6.2665,14.3773,7.557,5.9237,23.8273,9.6023,18.4029,7.0233,3.7463,16.2644,6.174,7.6289,8.1587,8.1882
CASP10,9.3562,14.8829,2.0539,11.8754,4.4428,7.9424,9.6023,10.5159,22.0733,21.5409,2.3235,4.802,5.3402,2.9668,4.4663
CFLAR,41.4346,38.3823,12.3234,38.8648,17.7711,50.3022,26.4065,21.0318,57.1898,36.5259,62.734,12.3481,16.7836,10.3838,49.1292
TFPI,69.5032,86.1644,4.1078,24.8303,53.3132,29.1223,42.0103,139.336,184.6128,87.1003,32.5287,11.6621,28.9898,16.3174,26.7978
NDUFAF7,9.3562,9.3998,10.2695,6.4775,14.8092,23.8273,10.8026,21.0318,6.02,10.3022,9.2939,6.174,11.4433,34.1182,8.9326
RBM5,18.7124,31.3325,18.485,23.7507,17.7711,21.1799,24.0059,18.4029,23.0766,39.3356,16.2644,29.4982,31.2785,18.5425,23.0758
MTMR7,1.3366,2.3499,32.8623,2.1592,2.9618,1.8532,2.4006,1.5774,1.0033,0.9366,2.0911,4.116,1.5258,1.4834,2.2331
SLC7A2,68.1666,30.5492,34.9162,26.9895,48.8705,39.7122,31.2076,249.7531,37.1232,44.955,388.0211,113.8768,21.3609,49.6939,50.618
ARF5,80.1959,54.8319,70.8593,55.0585,53.3132,52.9496,66.0161,86.7563,75.2498,56.1938,83.6453,46.6483,60.2683,48.9522,51.3624
SARM1,1.2029,2.3499,2.0539,1.0796,1.1847,0.7942,1.2003,1.3145,0.903,2.8097,0.2323,2.744,2.2887,0.7417,1.4888
POLDIP2,125.6403,85.3811,113.9911,112.2761,88.8554,267.3957,146.4358,473.2164,57.1898,67.4325,499.5482,85.7506,90.7838,86.7789,140.6882
PLXND1,69.5032,57.9651,12.3234,55.0585,16.2902,23.8273,16.8041,18.4029,36.1199,44.0184,9.2939,18.5221,16.0207,15.5757,17.1208
AK2,50.7908,50.9153,24.6467,60.4564,50.3514,37.0648,73.2179,144.5939,50.1665,33.7163,53.44,48.0203,40.4331,27.4429,64.0169
CD38,4.0098,10.9664,10.2695,4.3183,1.4809,13.2374,0.7202,7.8869,7.0233,23.4141,2.3235,2.058,2.2887,0.6675,2.2331
FKBP4,57.4738,22.7161,66.7515,34.5465,207.3293,50.3022,141.6346,107.7882,77.2564,147.9769,248.6123,90.5526,88.4952,113.48,173.441
KDM1A,37.4248,28.9826,31.8353,30.2282,35.5422,31.7698,32.4079,28.9188,30.0999,29.97,76.6748,50.7643,36.6187,105.3213,40.1966
RBM6,26.732,46.2154,24.6467,29.1486,19.252,23.8273,30.0073,21.0318,30.0999,58.0669,20.9113,44.5903,28.9898,26.7012,43.9185
