gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,testis,thymus gland,thyroid gland,trachea,uterus
GAP43,1.2601,1.4374,34.4853,0.9777,1.6958,0.6145,0.9217,1.1187,2.8863,1.3916,0.7229,1.1875,2.3539,1.4222,0.9368,6.8549,0.989,0.9474,1.6669,1.6208,3.2698,0.9801,0.967,1.0062,0.6369
GPHN,7.0076,4.7537,16.32665,13.3848,17.6707,12.5585,25.8384,39.2549,10.9825,21.263,10.5259,6.7877,28.2621,3.0049,8.6516,6.9259,12.8997,10.2257,15.5893,6.3484,6.4986,3.8878,10.1062,3.2347,6.264
KIF21A,5.7184,4.7693,47.64475,4.4575,6.6882,23.361,23.1976,19.1387,3.8298,5.7687,4.0277,3.5541,5.3712,11.9459,9.1673,13.6549,9.2781,4.8813,4.9706,5.005,6.0804,1.067,5.5448,9.2903,2.9962
CD1A,1.9481,4.8053,2.33335,0.7523,1.0395,0.8979,0.5701,0.5428,0.6189,0.6062,0.9886,5.8191,0.8354,0.7034,0.798,0.6036,1.1703,21.6167,0.9961,2.392,0.8023,850.9,0.7138,1.7703,2.7546
CTNNA1,121.715,65.091,110.0424,109.3583,119.1942,201.2429,131.5252,105.4976,163.0787,60.0215,97.114,116.8032,70.2248,112.829,116.3917,106.742,88.5884,148.9997,115.5182,75.4378,54.2489,35.5367,119.1068,156.8185,111.096
SLA,48.0594,426.104,39.35485,12.6505,19.3977,6.0659,20.3614,55.4532,304.6675,3.303,9.6648,190.4196,14.3129,38.0802,23.1037,40.5342,14.0951,31.4049,48.7886,363.058,3.178,769.6073,18.3041,47.4009,26.5509
CASP14,0.6929,0.8858,1.04095,0.7928,0.8402,0.7988,0.9743,0.9264,0.8267,1.4624,0.9779,0.8061,1.9263,0.7676,0.6818,0.7147,2.278,14.9702,0.7399,0.9353,0.7151,0.6245,1.1929,1.021,2.8845
TSGA10IP,7.6954,4.6844,8.49835,3.5536,3.3314,11.4809,4.154,6.5358,4.613,9.7213,4.6717,4.0487,6.1094,4.6514,2.8418,2.7869,12.6952,5.0831,6.1905,3.6518,17.0975,3.8103,4.5104,8.8129,4.1843
SLMAP,3.8683,13.2928,4.21265,30.9684,39.6665,137.0653,9.4778,12.3656,7.6312,48.0666,9.4557,4.1467,5.9795,5.163,16.4233,8.4417,1.1743,8.1442,12.3367,2.4335,14.629,15.9569,6.9858,4.3894,11.0865
ZNF32,83.3348,60.8297,104.18625,84.6924,92.1042,148.7397,92.5615,66.4408,83.835,235.9819,148.7755,69.005,137.01,32.6418,139.1289,105.7471,108.0049,63.3341,77.4791,81.5815,38.7141,71.8076,134.7459,81.9008,121.2049
RNF40,27.907,25.7787,17.9593,12.7558,20.0148,11.2804,18.5975,17.2998,17.383,15.4706,24.738,21.7989,15.1443,29.0242,21.3221,22.2826,27.6486,20.8942,19.436,22.8337,49.6751,28.3117,21.4943,24.1727,26.8482
F9,0.9475,0.7205,0.57735,0.913,0.714,0.7943,0.7561,1184.3572,0.8376,0.7059,0.7014,0.9952,2.4825,0.8426,0.8104,0.5186,0.8134,0.8824,0.8644,0.6844,0.7087,2.8994,0.9258,0.9141,0.6881
POLR3A,21.1411,8.7913,21.74365,12.3374,13.2172,23.5973,10.9761,9.0721,15.9811,32.9685,24.6917,16.691,61.1955,12.9243,20.2193,13.9425,17.8787,20.1783,15.4282,13.6559,11.5014,16.5729,14.5299,16.9437,23.9196
IPCEF1,0.6586,34.6607,16.85365,2.6122,1.9211,1.2053,3.5179,1.5265,3.5829,1.9763,3.1436,7.7754,1.9027,2.2712,1.6799,1.3306,1.0064,1.0425,1.9903,13.3834,1.1503,6.1288,47.5086,1.6327,1.481
GALNT6,3.1951,14.0291,7.2522,33.4006,6.9715,1.5791,2.7012,1.8288,7.2658,1.475,1.7587,21.7349,9.6003,23.8273,1.6998,3.5926,63.4585,7,13.794,14.3221,1.1959,13.0476,5.4355,60.8032,2.9625
CRTAC1,0.8976,0.7069,15.33725,0.9037,1.1242,6.3899,1.7996,1.1521,22.9491,2.7036,0.7837,2.4706,1.0783,1.1085,2.3592,37.5977,3.5621,3.0769,1.0261,1.1457,3.8547,1.3953,4.8979,1.5362,1.0192
HFE,27.161,9.5729,7.1129,12.1437,15.9226,10.4422,11.3945,30.1757,15.0976,4.5248,13.0732,10.4059,15.041,17.1983,19.0036,24.9778,17.4226,9.8394,18.4737,26.0911,3.5715,7.6363,22.3627,18.0844,15.1584
ZNF319,1.2714,1.5813,1.1367,1.1398,1.0979,1.6182,0.9021,1.3626,5.3413,1.2433,1.5132,1.1696,1.8645,2.1246,0.8965,1.0774,1.9971,1.2005,1.1487,1.2945,0.7819,1.886,0.9903,1.3612,1.1921
RBM33,4.8593,15.087,1.80635,2.8881,3.9838,3.2467,2.9529,6.206,3.8736,2.8004,6.9204,5.0421,2.9274,4.2816,4.8686,4.1474,2.6326,3.0029,6.3645,5.7349,4.2495,11.9926,4.5575,3.8831,3.1129
TIMELESS,8.8373,13.1361,4.9813,7.9053,19.5489,3.058,10.2016,24.3218,10.3038,1.7669,9.7356,23.7788,5.1463,17.0289,6.1943,14.7366,6.3658,5.2123,20.3497,17.1496,19.2916,55.8585,10.0762,8.6273,9.9909
ATG9B,1.136,2.7967,2.56005,2.5195,4.0748,3.2375,4.6131,2.1174,1.5457,4.1069,2.2643,3.0786,1.4188,8.0119,2.373,2.55,2.5422,4.7855,2.4698,1.3875,2.2977,2.7711,1.1589,2.4249,1.6824
HTRA3,72.7775,1.9128,11.68835,190.6828,123.0768,534.8744,13.0738,8.1228,133.5066,156.1601,772.2398,33.104,26.495,163.6428,111.142,119.3589,74.4925,392.9773,132.27,17.7935,36.9397,96.2681,151.2968,206.0903,500.2099
SULT1C2,0.9154,1.6758,6.35955,6.918,34.1613,15.5843,1026.5625,14.9658,22.2886,2.6057,12.86,3.5904,25.3359,12.6651,2.8023,69.0124,10.6923,1.6466,240.5021,3.7752,1.4346,4.8846,291.4738,2.8432,2.8688
