Site_ID,adipose tissue,adrenal gland,arteries,breast,colon,esophagus,heart,liver,lung,muscle,ovary,pancreas,Peyer's patch,prostate,skin,spinal nerves,spleen,stomach,testis,thyroid gland,uterus,vagina
13,0.96,0.98,0.95,0.98,0.96,0.96,0.93,0.96,0.98,0.97,0.8,0.96,0.98,0.96,0.98,0.98,0.95,0.89,0.37,0.98,0.98,0.98
21,0.83,0.87,0.86,0.71,0.84,0.86,0.86,0.76,0.89,0.84,0.78,0.86,0.86,0.88,0.88,0.68,0.89,0.87,0.89,0.88,0.85,0.83
33,0.05,0.05,0.07,0.1,0.07,0.1,0.03,0.04,0.09,0.05,0.04,0.03,0.06,0.12,0.06,0.04,0.1,0.08,0.04,0.06,0.07,0.07
44,0.04,0.05,0.05,0.04,0.06,0.04,0.04,0.03,0.04,0.04,0.05,0.05,0.04,0.03,0.04,0.05,0.05,0.04,0.05,0.04,0.06,0.05
59,0.96,0.95,0.81,0.95,0.96,0.94,0.88,0.94,0.93,0.68,0.96,0.96,0.95,0.96,0.92,0.94,0.94,0.95,0.93,0.96,0.93,0.95
64,0.04,0.02,0.03,0.06,0.06,0.03,0.03,0.05,0.03,0.02,0.02,0.02,0.05,0.07,0.02,0.01,0.03,0.03,0.02,0.02,0.03,0.03
70,0.31,0.56,0.36,0.44,0.54,0.42,0.37,0.46,0.33,0.44,0.47,0.49,0.55,0.52,0.41,0.46,0.42,0.35,0.47,0.41,0.49,0.5
77,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
78,0.24,0.23,0.28,0.45,0.3,0.29,0.23,0.19,0.31,0.37,0.34,0.13,0.22,0.3,0.24,0.17,0.24,0.21,0.54,0.23,0.34,0.27
102,0.58,0.6,0.59,0.59,0.6,0.59,0.6,0.59,0.62,0.6,0.6,0.58,0.62,0.63,0.6,0.59,0.64,0.62,0.48,0.59,0.61,0.61
129,0.92,0.95,0.93,0.93,0.95,0.94,0.94,0.96,0.95,0.95,0.96,0.94,0.92,0.95,0.95,0.95,0.95,0.94,0.67,0.94,0.95,0.96
163,0.96,0.96,0.92,0.95,0.95,0.93,0.96,0.96,0.96,0.95,0.95,0.95,0.96,0.97,0.96,0.95,0.96,0.96,0.95,0.96,0.93,0.96
182,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0.02
185,0.06,0.07,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.07,0.09,0.04,0.07,0.08,0.08,0.06,0.05,0.04,0.1,0.08,0.1,0.06
200,0.04,0.01,0.04,0.04,0.05,0.04,0.02,0.04,0.05,0.03,0,0.02,0.08,0.05,0.03,0.03,0.11,0.07,0.02,0.02,0.04,0.04
220,0.1,0.1,0.1,0.11,0.12,0.2,0.11,0.12,0.12,0.11,0.09,0.12,0.12,0.14,0.1,0.06,0.14,0.1,0.1,0.1,0.09,0.09
235,0.01,0.01,0.01,0.02,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01
276,0.9,0.93,0.91,0.89,0.92,0.92,0.91,0.9,0.93,0.88,0.89,0.93,0.91,0.93,0.92,0.87,0.92,0.91,0.93,0.93,0.89,0.91
338,0.76,0.73,0.75,0.66,0.72,0.74,0.74,0.54,0.8,0.72,0.65,0.85,0.72,0.69,0.77,0.74,0.78,0.75,0.72,0.72,0.7,0.77
370,0.8,0.78,0.78,0.77,0.79,0.74,0.8,0.77,0.83,0.82,0.73,0.77,0.71,0.8,0.77,0.76,0.76,0.85,0.53,0.77,0.71,0.77
381,0.95,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,1,0.98,0.98,0.97,0.96,0.97,0.98,0.99,0.98
386,0.96,0.97,0.98,0.98,0.98,0.98,0.98,1,0.99,0.98,0.98,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.61,0.97,0.97,0.98
413,0.06,0.12,0.22,0.08,0.05,0.06,0.09,0.06,0.11,0.03,0.09,0.17,0.1,0.05,0.04,0.05,0.07,0.08,0.09,0.51,0.06,0.06
418,0.06,0.03,0.05,0.05,0.18,0.07,0.07,0.12,0.08,0.03,0.06,0.04,0.21,0.05,0.05,0.06,0.15,0.12,0.03,0.05,0.04,0.07
475,0.9,0.94,0.94,0.94,0.92,0.94,0.93,0.97,0.94,0.95,0.95,0.96,0.88,0.94,0.94,0.93,0.91,0.94,0.61,0.93,0.93,0.91
503,0.74,0.79,0.7,0.78,0.71,0.72,0.67,0.89,0.83,0.68,0.63,0.84,0.77,0.75,0.75,0.6,0.88,0.8,0.79,0.77,0.67,0.74
520,0.06,0.07,0.07,0.07,0.07,0.08,0.04,0.09,0.05,0.08,0.06,0.07,0.07,0.05,0.06,0.09,0.09,0.07,0.1,0.05,0.05,0.08
525,0.86,0.66,0.85,0.82,0.92,0.92,0.81,0.9,0.87,0.88,0.86,0.71,0.94,0.92,0.82,0.9,0.81,0.8,0.61,0.92,0.91,0.89
628,0.08,0.07,0.05,0.08,0.07,0.06,0.06,0.52,0.05,0.07,0.08,0.07,0.08,0.06,0.06,0.06,0.08,0.05,0.36,0.05,0.06,0.07
666,0.8,0.85,0.84,0.86,0.82,0.84,0.87,0.58,0.81,0.81,0.81,0.86,0.73,0.9,0.85,0.78,0.78,0.8,0.87,0.84,0.87,0.81
745,0.98,0.74,1,0.96,0.92,0.94,0.98,0.95,0.9,0.96,0.75,0.99,0.99,0.99,0.98,0.98,0.97,0.98,0.83,0.98,0.99,0.93
760,0.84,0.88,0.8,0.81,0.81,0.87,0.9,0.88,0.89,0.86,0.84,0.89,0.83,0.87,0.85,0.64,0.88,0.87,0.9,0.91,0.75,0.84
773,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.02
809,0.08,0.08,0.09,0.03,0.07,0.08,0.09,0.07,0.07,0.06,0.1,0.09,0.1,0.03,0.09,0.06,0.11,0.05,0.07,0.06,0.08,0.07
838,0.36,0.38,0.26,0.39,0.43,0.38,0.36,0.47,0.56,0.36,0.18,0.33,0.42,0.4,0.37,0.31,0.59,0.36,0.19,0.35,0.26,0.37
844,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0,0.01,0.02,0.02,0.03,0.02,0.02,0,0.01
861,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
862,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02
890,0.96,0.98,0.96,0.96,0.97,0.96,0.96,0.96,0.97,0.96,0.97,0.95,0.95,0.97,0.96,0.96,0.97,0.97,0.8,0.96,0.98,0.97
941,0.63,0.55,0.56,0.52,0.39,0.41,0.71,0.43,0.61,0.58,0.51,0.65,0.29,0.49,0.44,0.6,0.52,0.53,0.56,0.57,0.64,0.58
981,0.04,0.03,0.02,0.02,0.03,0.03,0.04,0.01,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.04,0.03
988,0.12,0.12,0.11,0.14,0.11,0.11,0.12,0.12,0.08,0.11,0.13,0.11,0.09,0.09,0.11,0.11,0.09,0.11,0.11,0.1,0.1,0.11
1030,0.03,0.03,0.02,0.03,0.01,0.03,0.03,0.04,0.03,0.01,0.02,0.02,0.04,0.03,0.04,0.02,0.02,0.03,0.04,0.04,0.04,0.02
1035,0.82,0.81,0.82,0.78,0.81,0.84,0.81,0.63,0.85,0.81,0.79,0.83,0.8,0.89,0.82,0.82,0.83,0.82,0.83,0.87,0.8,0.8
1040,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0,0,0.01,0.01,0.01,0.01
1058,0.9,0.9,0.91,0.86,0.92,0.91,0.91,0.93,0.94,0.9,0.92,0.9,0.92,0.92,0.91,0.89,0.94,0.89,0.86,0.93,0.91,0.91
1084,0.2,0.15,0.18,0.16,0.2,0.12,0.23,0.21,0.17,0.16,0.15,0.2,0.09,0.06,0.15,0.16,0.13,0.17,0.18,0.17,0.25,0.28
1090,0.12,0.16,0.09,0.3,0.2,0.24,0.04,0.53,0.34,0.27,0.08,0.27,0.3,0.35,0.16,0.09,0.2,0.28,0.06,0.1,0.12,0.21
1115,0.08,0.07,0.08,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.08,0.05,0.06,0.07,0.07,0.07,0.05,0.08,0.06,0.07,0.08
1127,0.03,0.03,0.03,0.05,0.07,0.07,0.01,0.08,0.06,0.01,0.02,0.02,0.13,0.05,0.03,0.02,0.11,0.03,0.03,0.02,0.02,0.02
1173,0.97,1,1,1,0.99,0.99,1,0.97,0.98,0.99,0.98,0.99,1,1,0.99,0.99,0.99,0.98,0.64,1,1,1
1183,0.05,0.04,0.03,0.05,0.04,0.03,0.04,0.05,0.04,0.04,0.03,0.02,0.03,0.02,0.03,0.04,0.04,0.06,0.05,0.03,0.05,0.03
1237,0.84,0.88,0.86,0.88,0.85,0.88,0.89,0.87,0.85,0.74,0.89,0,0.84,0.89,0.85,0.92,0.89,0.85,0.66,0.87,0.95,0.83
1242,0.04,0.03,0.03,0.04,0.04,0.04,0.06,0.03,0.07,0.06,0.05,0.04,0.05,0.06,0.04,0.05,0.04,0.06,0.05,0.03,0.06,0.04
1275,0.95,0.96,0.97,0.96,0.96,0.96,0.97,0.96,0.97,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.97,0.71,0.97,0.97,0.97
1301,0.92,0.88,0.97,0.81,0.92,0.9,0.93,0.89,0.91,0.92,0.9,0.81,0.91,0.94,0.9,0.92,0.94,0.91,0.78,0.95,0.82,0.91
1366,0.05,0.06,0.04,0.05,0.04,0.03,0.03,0.04,0.06,0.04,0.03,0.16,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.08,0.04,0.04
1412,0.59,0.65,0.67,0.42,0.58,0.44,0.62,0.86,0.61,0.5,0.36,0.53,0.58,0.27,0.52,0.44,0.71,0.54,0.34,0.58,0.45,0.53
1446,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02
1452,0.75,0.88,0.77,0.62,0.92,0.64,0.76,0.71,0.61,0.8,0.73,0.8,0.63,0.46,0.59,0.67,0.81,0.6,0.87,0.42,0.83,0.73
1454,0.77,0.85,0.8,0.84,0.73,0.74,0.77,0.83,0.86,0.8,0.84,0.82,0.75,0.81,0.71,0.79,0.82,0.61,0.85,0.86,0.81,0.78
1470,0.04,0.03,0.02,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.03,0.03,0.05,0.06,0.03,0.03,0.01,0.03,0.06,0.02,0.03,0.04
1500,0.25,0.27,0.31,0.45,0.44,0.32,0.23,0.12,0.21,0.47,0.31,0.15,0.24,0.34,0.32,0.37,0.08,0.27,0.31,0.45,0.09,0.36
1515,0.08,0.09,0.11,0.16,0.14,0.11,0.1,0.06,0.11,0.08,0.1,0.1,0.12,0.09,0.06,0.08,0.09,0.09,0.11,0.08,0.09,0.11
1540,0.01,0.01,0.02,0.02,0.01,0.01,0,0.01,0.02,0.02,0.01,0.02,0.03,0,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02
1547,0.07,0.08,0.08,0.08,0.08,0.12,0.08,0.09,0.1,0.07,0.06,0.08,0.11,0.09,0.08,0.09,0.1,0.11,0.07,0.07,0.08,0.11
1594,0.96,0.98,0.99,0.96,0.96,0.97,0.96,0.97,0.98,0.95,0.99,0.97,0.98,0.94,0.98,0.97,0.99,0.98,0.98,0.98,0.97,0.98
1596,0.84,0.88,0.83,0.87,0.84,0.86,0.84,0.88,0.86,0.86,0.87,0.9,0.87,0.91,0.87,0.84,0.88,0.85,0.77,0.87,0.78,0.88
1610,0.06,0.06,0.06,0.08,0.05,0.06,0.04,0.06,0.04,0.06,0.07,0.04,0.05,0.09,0.05,0.05,0.05,0.04,0.07,0.05,0.03,0.05
1622,0.06,0.19,0.06,0.16,0.09,0.21,0.04,0.12,0.12,0.06,0.05,0.08,0.11,0.36,0.36,0.05,0.11,0.08,0.07,0.1,0.06,0.09
1834,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.96,0.96,0.97,0.95,0.94,0.95,0.93,0.94,0.95,0.95,0.96
1839,0.86,0.87,0.87,0.89,0.9,0.89,0.89,0.81,0.89,0.89,0.92,0.89,0.88,0.88,0.88,0.86,0.88,0.9,0.85,0.91,0.89,0.92
1853,0.85,0.92,0.79,0.55,0.69,0.57,0.79,0.95,0.84,0.68,0.74,0.92,0.79,0.61,0.44,0.91,0.87,0.71,0.82,0.87,0.34,0.54
1905,0.98,0.96,0.97,0.98,0.98,0.98,0.99,0.98,0.99,0.98,0.96,0.97,0.99,0.99,0.98,0.98,0.98,0.98,0.76,0.99,0.99,0.99
1943,0,0.01,0,0,0.01,0.01,0,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0
1960,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03
2000,0.95,0.94,0.95,0.89,0.94,0.94,0.94,0.93,0.96,0.96,0.97,0.91,0.92,0.95,0.95,0.95,0.92,0.95,0.96,0.94,0.95,0.96
2045,0.04,0.02,0.02,0.04,0.02,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.02,0.01,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.04
2067,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.98,0.97,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.98
2070,0.84,0.85,0.86,0.82,0.86,0.86,0.89,0.84,0.9,0.85,0.83,0.89,0.86,0.9,0.86,0.85,0.84,0.86,0.87,0.89,0.87,0.86
2082,0.04,0.02,0.01,0.04,0.03,0.02,0.04,0.03,0.02,0.01,0.01,0.01,0.02,0,0.02,0.02,0.03,0.02,0.02,0.03,0.01,0.01
2100,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01
