Site_ID,breast,colon,kidney,lung,muscle,ovary,prostate,testis,blood
3,0.89,0.95,0.95,0.97,0.88,0.91,0.94,0.9,0.96
4,0.1,0.08,0.06,0.07,0.09,0.04,0.06,0.03,0.07
5,0.94,0.93,0.95,0.95,0.45,0.9,0.92,0.86,0.84
7,0.64,0.69,0.48,0.68,0.39,0.53,0.59,0.35,0.89
8,0.17,0.36,0.44,0.22,0.2,0.4,0.45,0.23,0.24
9,0.1,0.18,0.17,0.19,0.45,0.05,0.09,0.06,0.3
11,0.9,0.9,0.9,0.9,0.9,0.87,0.89,0.8,0.89
12,0.07,0.08,0.13,0.1,0.09,0.05,0.07,0.03,0.12
13,0.98,0.98,0.98,0.98,0.98,0.82,0.92,0.3,0.98
14,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
15,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02
16,0.88,0.83,0.7,0.83,0.58,0.79,0.87,0.76,0.85
17,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.96,0.95
18,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.43,0.02
19,0.5,0.51,0.5,0.5,0.5,0.49,0.49,0.34,0.5
20,0.95,0.93,0.94,0.93,0.95,0.94,0.94,0.62,0.9
21,0.88,0.9,0.79,0.91,0.88,0.85,0.9,0.9,0.94
22,0.73,0.87,0.8,0.77,0.76,0.95,0.8,0.39,0.77
23,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
24,0.78,0.72,0.7,0.84,0.74,0.75,0.81,0.8,0.92
26,0.92,0.71,0.72,0.94,0.91,0.79,0.77,0.92,0.93
28,0.93,0.9,0.97,0.94,0.64,0.78,0.94,0.47,0.97
29,0.9,0.93,0.93,0.95,0.92,0.87,0.94,0.94,0.97
31,0.99,0.99,0.99,0.98,0.97,0.99,0.98,0.94,0.99
32,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02
33,0.05,0.04,0.03,0.05,0.02,0.02,0.07,0.02,0.04
34,0.96,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.95
35,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
36,0.97,0.98,0.98,0.99,0.99,0.98,0.99,0.99,0.99
37,0.04,0.16,0.03,0.05,0.01,0.01,0.05,0.01,0.05
38,0.95,0.96,0.98,0.97,0.85,0.97,0.98,0.97,0.98
39,0.88,0.91,0.92,0.89,0.92,0.93,0.87,0.92,0.77
40,0.81,0.73,0.83,0.76,0.83,0.82,0.85,0.86,0.79
41,0.97,0.93,0.97,0.98,0.8,0.98,0.98,0.53,0.97
42,0.65,0.59,0.62,0.63,0.76,0.46,0.57,0.35,0.58
43,0.98,0.97,0.98,0.98,0.69,0.98,0.97,0.98,0.97
44,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02
45,0.22,0.32,0.17,0.35,0.09,0.07,0.19,0.16,0.79
46,0.8,0.69,0.88,0.78,0.91,0.9,0.86,0.48,0.8
47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
49,0.91,0.89,0.91,0.86,0.87,0.92,0.91,0.84,0.75
50,0.24,0.19,0.14,0.29,0.1,0.03,0.09,0.28,0.53
51,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
53,0.44,0.65,0.47,0.68,0.44,0.21,0.43,0.4,0.98
54,0.93,0.88,0.95,0.94,0.93,0.96,0.96,0.95,0.94
55,0.02,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02
56,0.93,0.96,0.95,0.96,0.96,0.94,0.96,0.96,0.95
57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
58,0.97,0.98,0.97,0.98,0.98,0.97,0.97,0.96,0.98
59,0.92,0.94,0.93,0.91,0.35,0.93,0.92,0.91,0.94
60,0.46,0.81,0.95,0.94,0.35,0.67,0.6,0.86,0.97
61,0.93,0.93,0.93,0.91,0.91,0.91,0.93,0.9,0.94
62,0.57,0.88,0.86,0.88,0.68,0.9,0.88,0.93,0.95
63,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
64,0.03,0.05,0.03,0.03,0.02,0.03,0.03,0.02,0.03
65,0.96,0.93,0.92,0.95,0.96,0.93,0.93,0.94,0.96
66,0.86,0.74,0.86,0.85,0.8,0.8,0.81,0.86,0.87
67,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.51,0.96
68,0.95,0.94,0.96,0.95,0.95,0.96,0.95,0.94,0.95
69,0.05,0.22,0.05,0.06,0.04,0.04,0.06,0.04,0.06
70,0.43,0.53,0.46,0.29,0.42,0.47,0.55,0.61,0.31
72,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.99
73,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02
74,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
75,0.88,0.88,0.84,0.85,0.37,0.89,0.85,0.95,0.95
77,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
78,0.34,0.23,0.16,0.25,0.42,0.29,0.21,0.66,0.12
