Site_ID,adipose tissue,adrenal gland,blood,bone,bone marrow,brain,breast,cartilage,colon,esophagus,fallopian tube,kidney,liver,lung,muscle,nasopharynx,nose,pancreas,placenta,prostate,skin,spleen,stomach,testis,thyroid gland,tongue,urinary bladder
1,0.25,0.38,0.59,0.26,0.64,0.75,0.19,0.49,0.35,0.25,0.22,0.44,0.36,0.31,0.35,0.25,0.28,0.25,0.05,0.19,0.24,0.39,0.29,0.23,0.36,0.33,0.24
2,0.98,0.99,0.99,0.99,0.99,0.98,0.98,0.9,0.99,0.98,0.97,0.98,0.59,0.99,0.97,0.99,0.99,0.99,0.98,0.97,0.98,0.98,0.99,0.94,0.98,0.97,0.99
3,0.85,0.95,0.96,0.95,0.96,0.92,0.84,0.31,0.94,0.93,0.93,0.94,0.95,0.95,0.83,0,0.96,0.91,0.97,0.89,0.9,0,0.91,0.73,0.94,0.92,0.95
4,0.17,0.22,0.15,0.15,0.11,0.12,0.2,0.11,0.23,0.18,0.17,0.13,0.15,0.19,0.15,0.25,0.15,0.17,0.62,0.14,0.21,0.09,0.19,0.15,0.13,0.21,0.17
5,0.88,0.89,0.84,0.89,0.86,0.92,0.91,0.9,0.93,0.91,0.91,0.91,0.92,0.93,0.55,0.96,0.88,0.92,0.9,0.86,0.92,0.89,0.95,0.81,0.95,0.91,0.92
6,0.84,0.89,0.87,0,0,0,0.83,0,0.86,0,0,0.78,0.85,0.66,0.67,0,0,0.11,0.84,0.8,0,0,0,0,0.85,0.79,0
7,0.67,0.81,0.92,0.73,0.91,0.77,0.69,0.6,0.76,0.62,0.9,0.54,0.78,0.75,0.45,0.79,0.69,0.68,0.74,0.65,0.67,0.83,0.73,0.67,0.75,0.64,0.71
8,0.3,0.45,0.26,0.3,0.24,0.42,0.25,0.16,0.34,0.34,0.41,0.43,0.25,0.3,0.26,0.29,0.31,0.26,0.54,0.45,0.3,0.34,0.26,0.35,0.35,0.43,0.33
9,0.2,0.39,0.34,0.32,0.34,0.1,0.18,0.13,0.25,0.17,0.12,0.19,0.64,0.25,0.35,0.31,0.21,0.15,0.31,0.15,0.18,0.33,0.22,0.19,0.13,0.23,0.19
10,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02
11,0.9,0.91,0.88,0.93,0.89,0.88,0.89,0.9,0.91,0.89,0.88,0.89,0.9,0.92,0.9,0.9,0.89,0.9,0.89,0.89,0.91,0.91,0.89,0.82,0.87,0.9,0.92
12,0.08,0.11,0.23,0.09,0.16,0.07,0.09,0.05,0.1,0.07,0.08,0.14,0.14,0.12,0.09,0.12,0.1,0.11,0.27,0.1,0.07,0.12,0.09,0.06,0.21,0.11,0.1
13,0.98,0.98,0.98,0.99,0.97,0.97,0.98,0.99,0.98,0.96,0.98,0.98,0.98,0.98,0.97,0.99,0.99,0.98,0.97,0.91,0.99,0.98,0.88,0.55,0.99,0.98,0.98
14,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04
15,0.05,0.05,0.06,0.03,0.04,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.05,0.05,0.04,0.06,0.04,0.05,0.05,0.05
16,0.85,0.83,0.9,0.87,0.89,0.92,0.89,0.84,0.9,0.88,0.92,0.77,0.75,0.86,0.64,0.88,0.91,0.85,0.35,0.89,0.92,0.6,0.87,0.74,0.9,0.86,0.87
17,0.94,0.94,0.93,0.95,0.94,0.91,0.94,0.95,0.94,0.94,0.95,0.95,0.95,0.94,0.94,0,0.93,0.96,0.68,0.95,0.94,0.97,0.95,0.91,0.94,0.95,0.95
18,0.04,0.05,0.04,0.05,0.03,0.06,0.04,0.04,0.05,0.04,0.06,0.07,0.04,0.05,0.04,0.04,0.04,0.05,0.03,0.04,0.05,0.03,0.04,0.19,0.05,0.05,0.05
19,0.49,0.57,0.54,0.75,0.52,0.54,0.54,0.57,0.61,0.56,0.65,0.53,0.52,0.56,0.49,0.5,0.55,0.58,0.48,0.51,0.58,0.59,0.65,0.52,0.51,0.49,0.52
20,0.96,0.97,0.94,0.95,0.94,0.97,0.96,0.96,0.96,0.95,0.98,0.96,0.96,0.97,0.97,0.96,0.96,0.95,0.7,0.97,0.96,0.92,0.97,0.83,0.96,0.95,0.96
21,0.86,0.87,0.92,0.82,0.91,0.83,0.84,0.87,0.87,0.87,0.83,0.77,0.81,0.87,0.82,0.91,0.9,0.86,0.82,0.85,0.87,0.81,0.87,0.83,0.89,0.88,0.88
22,0.66,0.74,0.75,0.83,0.75,0.52,0.75,0.45,0.91,0.8,0.94,0.78,0.85,0.8,0.74,0.78,0.83,0.85,0.8,0.84,0.75,0.64,0.92,0.67,0.63,0.74,0.77
23,0.03,0.03,0.03,0.04,0.05,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.06,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.02,0.03,0.02
24,0.8,0.84,0.91,0.83,0.89,0.94,0.77,0.8,0.69,0.74,0.92,0.72,0.34,0.83,0.77,0.75,0.86,0.79,0.42,0.81,0.85,0.76,0.77,0.79,0.87,0.75,0.75
25,0.44,0.46,0.47,0.47,0.46,0.46,0.46,0.45,0.53,0.48,0.48,0.47,0.45,0.47,0.45,0.49,0.49,0.45,0.52,0.46,0.48,0.48,0.5,0.43,0.44,0.5,0.48
26,0.94,0.77,0.92,0.93,0.87,0.85,0.93,0.92,0.65,0.79,0.95,0.74,0.93,0.94,0.88,0.71,0.84,0.84,0.78,0.82,0.92,0.8,0.79,0.86,0.48,0.73,0.87
27,0.75,0.73,0.8,0.8,0.85,0.78,0.75,0.73,0.79,0.75,0.71,0.8,0.73,0.78,0.74,0.77,0.81,0.7,0.46,0.75,0.75,0.74,0.77,0.64,0.72,0.82,0.74
28,0.92,0.96,0.94,0.95,0.95,0.88,0.92,0.95,0.91,0.93,0.9,0.95,0.95,0.9,0.56,0.96,0.95,0.94,0.76,0.92,0.84,0.94,0.93,0.59,0.93,0.93,0.89
29,0.88,0.93,0.95,0.93,0.95,0.93,0.85,0.92,0.9,0.88,0.91,0.9,0.92,0.92,0.89,0.94,0.93,0.91,0.87,0.89,0.9,0.9,0.89,0.9,0.93,0.91,0.9
30,0.38,0.37,0.48,0.42,0.47,0.47,0.35,0.42,0.4,0.4,0.35,0.38,0.36,0.38,0.4,0.46,0.49,0.37,0.29,0.4,0.38,0.44,0.4,0.47,0.4,0.41,0.42
31,0.98,0.98,0.98,0.98,0.98,0.89,0.98,0.99,0.99,0.99,0.97,0.98,0.99,0.98,0.96,0.99,0.98,0.98,0.27,0.95,0.97,0.99,0.99,0.92,0.99,0.98,0.99
